statistic_name,value,source_pipeline,n_arcs,n_treebanks,annotation_source,quality_flag
"register_coefficient (Cox, full corpus)",0.04562917268133863,"350-treebank full extraction, 300k-arc Cox subsample",299984,350,CoNLL-U comment metadata (modality/channel/genre tags) + curated name-based fallback for 3 genuine gold treebanks + majority-written default,heuristic_dependent
"word_order_coefficient (Cox, full corpus)",-0.028272384721701235,"350-treebank full extraction, 300k-arc Cox subsample",299984,350,"computed directly from parsed head-position data (fraction dependents preceding head), not fetched from WALS/Glottolog",gold_standard
"morph_richness_coefficient (Cox, full corpus)",0.0013496307488072316,"350-treebank full extraction, 300k-arc Cox subsample",299984,350,computed directly from parsed FEATS column (unique morph feature strings / token),gold_standard
family_residual_hazard[Dravidian],1.8032157247257272,"350-treebank full extraction, Nelson-Aalen cumulative hazard at d=10",18353,4,"CoNLL-U comment metadata + name-based fallback (register not used directly, but family-of-language lookup is a static genealogical table)",mostly_reliable
family_residual_hazard[NW-Caucasian],0.8328966688723298,"350-treebank full extraction, Nelson-Aalen cumulative hazard at d=10",12063,2,"CoNLL-U comment metadata + name-based fallback (register not used directly, but family-of-language lookup is a static genealogical table)",mostly_reliable
family_residual_hazard[Anatolian],-0.8262367062002309,"350-treebank full extraction, Nelson-Aalen cumulative hazard at d=10",1173,1,"CoNLL-U comment metadata + name-based fallback (register not used directly, but family-of-language lookup is a static genealogical table)",mostly_reliable
family_residual_hazard[Sign],0.727002491970755,"350-treebank full extraction, Nelson-Aalen cumulative hazard at d=10",2312,2,"CoNLL-U comment metadata + name-based fallback (register not used directly, but family-of-language lookup is a static genealogical table)",mostly_reliable
family_residual_hazard[Turkic],0.6280483559328642,"350-treebank full extraction, Nelson-Aalen cumulative hazard at d=10",474970,24,"CoNLL-U comment metadata + name-based fallback (register not used directly, but family-of-language lookup is a static genealogical table)",mostly_reliable
family_residual_hazard[Afro-Asiatic(Cushitic)],0.627908075231153,"350-treebank full extraction, Nelson-Aalen cumulative hazard at d=10",11185,1,"CoNLL-U comment metadata + name-based fallback (register not used directly, but family-of-language lookup is a static genealogical table)",mostly_reliable
family_residual_hazard[Iranian],-0.5337783806769338,"350-treebank full extraction, Nelson-Aalen cumulative hazard at d=10",266606,8,"CoNLL-U comment metadata + name-based fallback (register not used directly, but family-of-language lookup is a static genealogical table)",mostly_reliable
family_residual_hazard[Romance],-0.4847373087044744,"350-treebank full extraction, Nelson-Aalen cumulative hazard at d=10",3780941,56,"CoNLL-U comment metadata + name-based fallback (register not used directly, but family-of-language lookup is a static genealogical table)",mostly_reliable
family_residual_hazard[Tai-Kadai],0.476540152773691,"350-treebank full extraction, Nelson-Aalen cumulative hazard at d=10",94918,2,"CoNLL-U comment metadata + name-based fallback (register not used directly, but family-of-language lookup is a static genealogical table)",mostly_reliable
family_residual_hazard[Baltic],-0.447052496826009,"350-treebank full extraction, Nelson-Aalen cumulative hazard at d=10",203430,5,"CoNLL-U comment metadata + name-based fallback (register not used directly, but family-of-language lookup is a static genealogical table)",mostly_reliable
robustness_coef_delta[en],-0.05811623148329957,"single spoken/written treebank pair (en), censoring-bound-decile-balanced resample",361464,2,gold-labeled pair,gold_standard
robustness_coef_delta[fr],-0.08201247092479369,"single spoken/written treebank pair (fr), censoring-bound-decile-balanced resample",82050,2,gold-labeled pair,gold_standard
robustness_coef_delta[it],-0.01496216835733066,"single spoken/written treebank pair (it), censoring-bound-decile-balanced resample",72436,2,heuristic name-fallback,heuristic_dependent
robustness_coef_delta[uk],0.0004349045876941276,"single spoken/written treebank pair (uk), censoring-bound-decile-balanced resample",152752,2,heuristic name-fallback,heuristic_dependent
gold_subset_register_coefficient[pooled_3_languages],0.11225564136829753,"gold-label subset only (this evaluation, fresh re-download)",465510,2,genuine gold register annotation (CHILDES/Rhapsodie/SST vs EWT/GSD/SSJ),gold_standard
functional_vs_lexical_register_coefficient[functional],0.02680729704410893,13-treebank re-download subset (this evaluation),226320,13,mixed gold + heuristic (see gold-label table),mostly_reliable
functional_vs_lexical_register_coefficient[lexical],0.12155721182980143,13-treebank re-download subset (this evaluation),381150,13,mixed gold + heuristic (see gold-label table),mostly_reliable
"cox_stable_vs_mdd_unstable (robustness verdict, iter1)",4/4 COX_STABLE,"4 spoken/written language-pair resamples (single resample each, iter1)",,4,mixed gold + heuristic,mostly_reliable
"robustness_variance_ratio (this evaluation, multi-resample)",1.308197828193254,"30-repeat censoring-bound-decile-balanced resample per language pair (this evaluation, fresh re-download)",,4,mixed gold + heuristic,gold_standard
SUMMARY,22 statistics,,,,,gold=6 mostly_reliable=13 heuristic=3
